model,model_label,case_id,category,description,prompt,should_call,expected_tool,expected_params,format_valid,via_native_api,called,tool_called,args_returned,correct_tool,param_score,params_correct,overall_correct,latency_ms,prompt_tokens,completion_tokens,total_tokens,api_error,timestamp
qwen2.5:0.5b,Qwen2.5 0.5B,33,no_call,No-call: science explanation,Give me a brief summary of how photosynthesis works.,False,,,False,False,False,,,,,,True,961.4,578,168,746,,2026-06-30T06:01:31.483097
qwen2.5:0.5b,Qwen2.5 0.5B,26,complex_params,Complex: weather both params,"I'm visiting Berlin next week and I'd like the temperature in Fahrenheit, please.",True,get_weather,"{""location"": ""berlin"", ""unit"": ""fahrenheit""}",False,False,False,,,False,0.0,False,False,540.2,584,70,654,,2026-06-30T06:01:32.023742
qwen2.5:0.5b,Qwen2.5 0.5B,27,complex_params,Complex: currency written-out amount,Can you please convert one thousand euros into British pounds for me?,True,convert_currency,"{""amount"": 1000, ""from_currency"": ""eur"", ""to_currency"": ""gbp""}",True,True,True,convert_currency,"{""to_currency"": ""GBP"", ""amount from_currency"": ""1000"", ""from_currency"": ""EUR""}",True,0.667,False,False,451.3,580,39,619,,2026-06-30T06:01:32.475491
qwen2.5:0.5b,Qwen2.5 0.5B,28,complex_params,Complex: reminder ambiguous datetime,I need an alarm for my team standup meeting this Friday at half past two in the afternoon.,True,set_reminder,"{""title"": ""standup""}",True,True,True,get_current_time,"{""timezone"": ""UTC""}",False,0.0,False,False,833.1,587,136,723,,2026-06-30T06:01:33.309005
qwen2.5:0.5b,Qwen2.5 0.5B,29,complex_params,Complex: calculate multi-step,What is the square root of 144 divided by 3?,True,calculate,"{""expression"": ""144""}",False,False,False,,,False,0.0,False,False,620.7,582,78,660,,2026-06-30T06:01:33.930187
qwen2.5:0.5b,Qwen2.5 0.5B,30,complex_params,Complex: translate dialect,"Translate the greeting 'Good morning, how are you?' into Mandarin Chinese.",True,translate_text,"{""text"": ""good morning"", ""target_language"": ""chinese""}",True,True,True,translate_text,"{""text"": ""Good morning, how are you?"", ""target_language"": ""Mandarin Chinese""}",True,1.0,True,True,461.6,582,35,617,,2026-06-30T06:01:34.392187
tinyllama:latest,TinyLlama 1.1B,1,simple_call,Weather – Paris,What's the weather like in Paris right now?,True,get_weather,"{""location"": ""paris""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:34.565159
tinyllama:latest,TinyLlama 1.1B,2,simple_call,Calculate – multiplication,Calculate 145 multiplied by 23.,True,calculate,"{""expression"": ""145""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:34.665072
tinyllama:latest,TinyLlama 1.1B,3,simple_call,Time – Tokyo,What is the current time in Tokyo?,True,get_current_time,"{""timezone"": ""tokyo""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:34.751117
tinyllama:latest,TinyLlama 1.1B,4,simple_call,Search – Python tutorials,Search the web for Python programming tutorials.,True,search_web,"{""query"": ""python""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:34.846446
tinyllama:latest,TinyLlama 1.1B,5,simple_call,Weather – New York + unit,What's the weather in New York in Fahrenheit?,True,get_weather,"{""location"": ""new york"", ""unit"": ""fahrenheit""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:34.920407
tinyllama:latest,TinyLlama 1.1B,6,simple_call,Translate – Hello to Spanish,Translate 'Hello' into Spanish.,True,translate_text,"{""text"": ""hello"", ""target_language"": ""spanish""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.014624
tinyllama:latest,TinyLlama 1.1B,7,simple_call,Currency – USD→EUR,Convert 100 US dollars to Euros.,True,convert_currency,"{""amount"": 100, ""from_currency"": ""usd"", ""to_currency"": ""eur""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.059485
tinyllama:latest,TinyLlama 1.1B,8,simple_call,Stock – Apple (AAPL),What is Apple's current stock price?,True,get_stock_price,"{""symbol"": ""aapl""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.125530
tinyllama:latest,TinyLlama 1.1B,9,simple_call,Reminder – doctor appointment,Set a reminder called 'Doctor appointment' for 2024-09-15 at 10:00.,True,set_reminder,"{""title"": ""doctor""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.213876
tinyllama:latest,TinyLlama 1.1B,10,simple_call,Search – AI news,Find the latest news about artificial intelligence.,True,search_web,"{""query"": ""artificial intelligence""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.286361
tinyllama:latest,TinyLlama 1.1B,11,tool_selection,Select: weather vs search,Should I bring an umbrella in London today?,True,get_weather,"{""location"": ""london""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.361474
tinyllama:latest,TinyLlama 1.1B,12,tool_selection,Select: currency vs calculate,How much is 500 British pounds in Japanese yen?,True,convert_currency,"{""amount"": 500, ""from_currency"": ""gbp"", ""to_currency"": ""jpy""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.454532
tinyllama:latest,TinyLlama 1.1B,13,tool_selection,Select: time vs search,What time is it in Los Angeles right now?,True,get_current_time,"{""timezone"": ""angeles""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.539245
tinyllama:latest,TinyLlama 1.1B,14,tool_selection,Select: calculate vs search,What is 2 to the power of 10?,True,calculate,"{""expression"": ""2""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.617043
tinyllama:latest,TinyLlama 1.1B,15,tool_selection,Select: translate vs search,How do you say 'thank you' in Japanese?,True,translate_text,"{""text"": ""thank you"", ""target_language"": ""japanese""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.680706
tinyllama:latest,TinyLlama 1.1B,16,tool_selection,Select: weather (implicit),Is it currently raining in Sydney?,True,get_weather,"{""location"": ""sydney""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.777025
tinyllama:latest,TinyLlama 1.1B,17,tool_selection,Select: stock vs search,I need to know Tesla's stock value right now.,True,get_stock_price,"{""symbol"": ""tsla""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.868997
tinyllama:latest,TinyLlama 1.1B,18,tool_selection,Select: reminder vs search,Remind me about my dentist appointment on August 20th at 9am.,True,set_reminder,"{""title"": ""dentist""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:35.939885
tinyllama:latest,TinyLlama 1.1B,19,tool_selection,Select: search vs translate,Search for recent academic papers on large language models.,True,search_web,"{""query"": ""large language models""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.016549
tinyllama:latest,TinyLlama 1.1B,20,tool_selection,Select: translate vs search,Convert the phrase 'Good morning' into French for me.,True,translate_text,"{""text"": ""good morning"", ""target_language"": ""french""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.115976
tinyllama:latest,TinyLlama 1.1B,21,no_call,No-call: factual knowledge,What is the capital city of France?,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.203116
tinyllama:latest,TinyLlama 1.1B,22,no_call,No-call: creative writing,Write a short haiku about the ocean.,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.293743
tinyllama:latest,TinyLlama 1.1B,23,no_call,No-call: explanation,Explain what machine learning is in simple terms.,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.394902
tinyllama:latest,TinyLlama 1.1B,24,no_call,No-call: general knowledge,What are three benefits of regular exercise?,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.488140
tinyllama:latest,TinyLlama 1.1B,25,no_call,No-call: casual conversation,Tell me a short joke.,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.581050
tinyllama:latest,TinyLlama 1.1B,31,no_call,No-call: basic geography,How many continents are there on Earth?,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.674134
tinyllama:latest,TinyLlama 1.1B,32,no_call,No-call: vocabulary definition,What does the word 'ephemeral' mean?,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.762342
tinyllama:latest,TinyLlama 1.1B,33,no_call,No-call: science explanation,Give me a brief summary of how photosynthesis works.,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.860698
tinyllama:latest,TinyLlama 1.1B,26,complex_params,Complex: weather both params,"I'm visiting Berlin next week and I'd like the temperature in Fahrenheit, please.",True,get_weather,"{""location"": ""berlin"", ""unit"": ""fahrenheit""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:36.946811
tinyllama:latest,TinyLlama 1.1B,27,complex_params,Complex: currency written-out amount,Can you please convert one thousand euros into British pounds for me?,True,convert_currency,"{""amount"": 1000, ""from_currency"": ""eur"", ""to_currency"": ""gbp""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:37.038921
tinyllama:latest,TinyLlama 1.1B,28,complex_params,Complex: reminder ambiguous datetime,I need an alarm for my team standup meeting this Friday at half past two in the afternoon.,True,set_reminder,"{""title"": ""standup""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:37.138638
tinyllama:latest,TinyLlama 1.1B,29,complex_params,Complex: calculate multi-step,What is the square root of 144 divided by 3?,True,calculate,"{""expression"": ""144""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:37.231381
tinyllama:latest,TinyLlama 1.1B,30,complex_params,Complex: translate dialect,"Translate the greeting 'Good morning, how are you?' into Mandarin Chinese.",True,translate_text,"{""text"": ""good morning"", ""target_language"": ""chinese""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/tinyllama:latest does not support tools,2026-06-30T06:01:37.326136
qwen2:1.5b,Qwen2 1.5B,1,simple_call,Weather – Paris,What's the weather like in Paris right now?,True,get_weather,"{""location"": ""paris""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:37.800976
qwen2:1.5b,Qwen2 1.5B,2,simple_call,Calculate – multiplication,Calculate 145 multiplied by 23.,True,calculate,"{""expression"": ""145""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:38.016321
qwen2:1.5b,Qwen2 1.5B,3,simple_call,Time – Tokyo,What is the current time in Tokyo?,True,get_current_time,"{""timezone"": ""tokyo""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:38.190091
qwen2:1.5b,Qwen2 1.5B,4,simple_call,Search – Python tutorials,Search the web for Python programming tutorials.,True,search_web,"{""query"": ""python""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:38.383852
qwen2:1.5b,Qwen2 1.5B,5,simple_call,Weather – New York + unit,What's the weather in New York in Fahrenheit?,True,get_weather,"{""location"": ""new york"", ""unit"": ""fahrenheit""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:38.595193
qwen2:1.5b,Qwen2 1.5B,6,simple_call,Translate – Hello to Spanish,Translate 'Hello' into Spanish.,True,translate_text,"{""text"": ""hello"", ""target_language"": ""spanish""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:38.814601
qwen2:1.5b,Qwen2 1.5B,7,simple_call,Currency – USD→EUR,Convert 100 US dollars to Euros.,True,convert_currency,"{""amount"": 100, ""from_currency"": ""usd"", ""to_currency"": ""eur""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:39.021529
qwen2:1.5b,Qwen2 1.5B,8,simple_call,Stock – Apple (AAPL),What is Apple's current stock price?,True,get_stock_price,"{""symbol"": ""aapl""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:39.209074
qwen2:1.5b,Qwen2 1.5B,9,simple_call,Reminder – doctor appointment,Set a reminder called 'Doctor appointment' for 2024-09-15 at 10:00.,True,set_reminder,"{""title"": ""doctor""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:39.448342
qwen2:1.5b,Qwen2 1.5B,10,simple_call,Search – AI news,Find the latest news about artificial intelligence.,True,search_web,"{""query"": ""artificial intelligence""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:39.643275
qwen2:1.5b,Qwen2 1.5B,11,tool_selection,Select: weather vs search,Should I bring an umbrella in London today?,True,get_weather,"{""location"": ""london""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:39.874457
qwen2:1.5b,Qwen2 1.5B,12,tool_selection,Select: currency vs calculate,How much is 500 British pounds in Japanese yen?,True,convert_currency,"{""amount"": 500, ""from_currency"": ""gbp"", ""to_currency"": ""jpy""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:40.085147
qwen2:1.5b,Qwen2 1.5B,13,tool_selection,Select: time vs search,What time is it in Los Angeles right now?,True,get_current_time,"{""timezone"": ""angeles""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:40.309070
qwen2:1.5b,Qwen2 1.5B,14,tool_selection,Select: calculate vs search,What is 2 to the power of 10?,True,calculate,"{""expression"": ""2""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:40.501814
qwen2:1.5b,Qwen2 1.5B,15,tool_selection,Select: translate vs search,How do you say 'thank you' in Japanese?,True,translate_text,"{""text"": ""thank you"", ""target_language"": ""japanese""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:40.733386
qwen2:1.5b,Qwen2 1.5B,16,tool_selection,Select: weather (implicit),Is it currently raining in Sydney?,True,get_weather,"{""location"": ""sydney""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:40.940603
qwen2:1.5b,Qwen2 1.5B,17,tool_selection,Select: stock vs search,I need to know Tesla's stock value right now.,True,get_stock_price,"{""symbol"": ""tsla""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:41.173470
qwen2:1.5b,Qwen2 1.5B,18,tool_selection,Select: reminder vs search,Remind me about my dentist appointment on August 20th at 9am.,True,set_reminder,"{""title"": ""dentist""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:41.377140
qwen2:1.5b,Qwen2 1.5B,19,tool_selection,Select: search vs translate,Search for recent academic papers on large language models.,True,search_web,"{""query"": ""large language models""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:41.584036
qwen2:1.5b,Qwen2 1.5B,20,tool_selection,Select: translate vs search,Convert the phrase 'Good morning' into French for me.,True,translate_text,"{""text"": ""good morning"", ""target_language"": ""french""}",False,False,False,,,False,0.0,False,False,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:41.836032
qwen2:1.5b,Qwen2 1.5B,21,no_call,No-call: factual knowledge,What is the capital city of France?,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:42.085605
qwen2:1.5b,Qwen2 1.5B,22,no_call,No-call: creative writing,Write a short haiku about the ocean.,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:42.311701
qwen2:1.5b,Qwen2 1.5B,23,no_call,No-call: explanation,Explain what machine learning is in simple terms.,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:42.556524
qwen2:1.5b,Qwen2 1.5B,24,no_call,No-call: general knowledge,What are three benefits of regular exercise?,False,,,False,False,False,,,,,,True,0.0,0,0,0,400 Bad Request: registry.ollama.ai/library/qwen2:1.5b does not support tools,2026-06-30T06:01:42.790333
